state,st,cd,jobs,districtcode
Alabama,AL,01," 31,300 ",101
Alabama,AL,02," 29,300 ",102
Alabama,AL,03," 20,700 ",103
Alabama,AL,04," 24,000 ",104
Alabama,AL,05," 33,900 ",105
Alabama,AL,06," 35,500 ",106
Alabama,AL,07," 35,100 ",107
Alaska,AK,00," 34,000 ",200
Arizona,AZ,01," 20,400 ",401
Arizona,AZ,02," 28,400 ",402
Arizona,AZ,03," 19,200 ",403
Arizona,AZ,04," 14,100 ",404
Arizona,AZ,05," 21,200 ",405
Arizona,AZ,06," 59,100 ",406
Arizona,AZ,07," 45,000 ",407
Arizona,AZ,08," 20,400 ",408
Arizona,AZ,09," 59,200 ",409
Arkansas,AR,01," 24,100 ",501
Arkansas,AR,02," 40,900 ",502
Arkansas,AR,03," 39,000 ",503
Arkansas,AR,04," 26,100 ",504
California,CA,01," 27,200 ",601
California,CA,02," 33,500 ",602
California,CA,03," 24,800 ",603
California,CA,04," 28,600 ",604
California,CA,05," 32,700 ",605
California,CA,06," 36,400 ",606
California,CA,07," 31,900 ",607
California,CA,08," 20,600 ",608
California,CA,09," 23,100 ",609
California,CA,10," 26,300 ",610
California,CA,11," 32,900 ",611
California,CA,12," 80,100 ",612
California,CA,13," 45,000 ",613
California,CA,14," 44,300 ",614
California,CA,15," 31,000 ",615
California,CA,16," 21,900 ",616
California,CA,17," 35,900 ",617
California,CA,18," 53,600 ",618
California,CA,19," 33,800 ",619
California,CA,20," 26,700 ",620
California,CA,21," 16,100 ",621
California,CA,22," 27,700 ",622
California,CA,23," 22,500 ",623
California,CA,24," 34,000 ",624
California,CA,25," 22,400 ",625
California,CA,26," 31,000 ",626
California,CA,27," 36,600 ",627
California,CA,28," 44,300 ",628
California,CA,29," 28,400 ",629
California,CA,30," 57,000 ",630
California,CA,31," 29,000 ",631
California,CA,32," 28,400 ",632
California,CA,33," 67,100 ",633
California,CA,34," 49,300 ",634
California,CA,35," 30,300 ",635
California,CA,36," 27,400 ",636
California,CA,37," 35,900 ",637
California,CA,38," 32,000 ",638
California,CA,39," 34,200 ",639
California,CA,40," 25,700 ",640
California,CA,41," 20,300 ",641
California,CA,42," 17,800 ",642
California,CA,43," 37,400 ",643
California,CA,44," 21,300 ",644
California,CA,45," 47,000 ",645
California,CA,46," 37,200 ",646
California,CA,47," 35,900 ",647
California,CA,48," 59,300 ",648
California,CA,49," 37,100 ",649
California,CA,50," 31,200 ",650
California,CA,51," 23,500 ",651
California,CA,52," 55,500 ",652
California,CA,53," 33,700 ",653
Colorado,CO,01," 62,000 ",801
Colorado,CO,02," 45,500 ",802
Colorado,CO,03," 33,800 ",803
Colorado,CO,04," 28,600 ",804
Colorado,CO,05," 32,200 ",805
Colorado,CO,06," 40,500 ",806
Colorado,CO,07," 33,600 ",807
Connecticut,CT,01," 46,300 ",901
Connecticut,CT,02," 31,000 ",902
Connecticut,CT,03," 34,600 ",903
Connecticut,CT,04," 45,200 ",904
Connecticut,CT,05," 37,000 ",905
Delaware,DE,00," 47,400 ",1000
District of Columbia,DC,00," 75,600 ",1198
Florida,FL,01," 29,400 ",1201
Florida,FL,02," 27,600 ",1202
Florida,FL,03," 21,800 ",1203
Florida,FL,04," 43,500 ",1204
Florida,FL,05," 44,700 ",1205
Florida,FL,06," 26,300 ",1206
Florida,FL,07," 45,200 ",1207
Florida,FL,08," 26,900 ",1208
Florida,FL,09," 27,700 ",1209
Florida,FL,10," 52,200 ",1210
Florida,FL,11," 20,300 ",1211
Florida,FL,12," 24,900 ",1212
Florida,FL,13," 37,900 ",1213
Florida,FL,14," 55,800 ",1214
Florida,FL,15," 29,300 ",1215
Florida,FL,16," 31,900 ",1216
Florida,FL,17," 20,900 ",1217
Florida,FL,18," 29,700 ",1218
Florida,FL,19," 35,800 ",1219
Florida,FL,20," 32,000 ",1220
Florida,FL,21," 25,200 ",1221
Florida,FL,22," 57,500 ",1222
Florida,FL,23," 40,300 ",1223
Florida,FL,24," 31,400 ",1224
Florida,FL,25," 30,900 ",1225
Florida,FL,26," 24,900 ",1226
Florida,FL,27," 38,700 ",1227
Georgia,GA,01," 30,500 ",1301
Georgia,GA,02," 30,300 ",1302
Georgia,GA,03," 26,300 ",1303
Georgia,GA,04," 30,700 ",1304
Georgia,GA,05," 65,800 ",1305
Georgia,GA,06," 63,700 ",1306
Georgia,GA,07," 38,100 ",1307
Georgia,GA,08," 24,600 ",1308
Georgia,GA,09," 24,600 ",1309
Georgia,GA,10," 22,400 ",1310
Georgia,GA,11," 38,800 ",1311
Georgia,GA,12," 27,900 ",1312
Georgia,GA,13," 29,600 ",1313
Georgia,GA,14," 22,600 ",1314
Hawaii,HI,01," 45,300 ",1501
Hawaii,HI,02," 30,300 ",1502
Idaho,ID,01," 31,900 ",1601
Idaho,ID,02," 42,800 ",1602
Illinois,IL,01," 29,600 ",1701
Illinois,IL,02," 30,900 ",1702
Illinois,IL,03," 29,500 ",1703
Illinois,IL,04," 20,900 ",1704
Illinois,IL,05," 45,200 ",1705
Illinois,IL,06," 48,800 ",1706
Illinois,IL,07," 66,600 ",1707
Illinois,IL,08," 44,700 ",1708
