energy_type,State,consumption
TE,AK,608982
NG,AK,332962
JF,AK,107338
DF,AK,73358
MM,AK,31096
P1,AK,27093
RE,AK,20449
CL,AK,14819
HY,AK,13696
BM,AK,5171
LG,AK,1272
RF,AK,593
TE,AL,1931397
NG,AL,628511
CL,AL,565051
RE,AL,317712
MM,AL,289111
BM,AL,194353
DF,AL,145369
HY,AL,123071
P1,AL,42114
JF,AL,13223
LG,AL,11284
RF,AL,6944
TE,AR,1092957
CL,AR,327099
NG,AR,288180
MM,AR,156785
DF,AR,126060
RE,AR,121850
BM,AR,95568
HY,AR,25329
P1,AR,19936
LG,AR,8902
JF,AR,6023
RF,AR,123
TE,AZ,1414770
CL,AZ,454865
NG,AZ,340564
MM,AZ,299338
DF,AZ,146049
RE,AZ,122944
HY,AZ,56432
BM,AZ,26566
JF,AZ,20964
P1,AZ,19839
LG,AZ,7576
TE,CA,7684064
NG,CA,2483457
MM,CA,1636193
RE,CA,872582
JF,CA,563067
DF,CA,533749
P1,CA,332922
BM,CA,294706
HY,CA,226643
RF,CA,124188
LG,CA,56464
CL,CA,38151
TE,CO,1471815
NG,CO,486202
CL,CO,363532
MM,CO,243971
RE,CO,123093
DF,CO,109227
JF,CO,53545
BM,CO,35275
P1,CO,27523
LG,CO,24975
HY,CO,11572
TE,CT,748122
NG,CT,240094
MM,CT,161421
DF,CT,111556
RE,CT,40895
BM,CT,34223
LG,CT,13526
JF,CT,10776
P1,CT,7916
CL,CT,7679
HY,CT,3835
RF,CT,2175
TE,DC,170934
NG,DC,33844
MM,DC,10912
DF,DC,3515
RE,DC,1166
BM,DC,858
P1,DC,393
LG,DC,25
CL,DC,4
TE,DE,274458
NG,DE,100684
MM,DE,48284
P1,DE,27445
CL,DE,18254
DF,DE,12998
RE,DE,7506
BM,DE,5990
LG,DE,4675
RF,DE,1042
JF,DE,724
TE,FL,4077891
NG,FL,1245205
MM,FL,930382
CL,FL,505155
RE,FL,315456
DF,FL,281565
BM,FL,254259
JF,FL,180214
RF,FL,61332
P1,FL,56983
LG,FL,16818
HY,FL,2425
TE,GA,2795395
NG,GA,635496
MM,GA,545463
CL,GA,426184
RE,GA,270449
BM,GA,233402
DF,GA,221249
P1,GA,45719
HY,GA,35431
RF,GA,27573
JF,GA,22599
LG,GA,17425
TE,HI,277111
RF,HI,65250
JF,HI,64201
MM,HI,51036
DF,HI,33020
RE,HI,28599
P1,HI,16302
CL,HI,15306
BM,HI,11160
LG,HI,3211
NG,HI,2861
HY,HI,747
TE,IA,1516483
CL,IA,402402
RE,IA,384690
NG,IA,335639
BM,IA,227581
MM,IA,185795
DF,IA,138913
LG,IA,63297
P1,IA,20034
HY,IA,7147
JF,IA,6078
RF,IA,37
TE,ID,529524
RE,ID,139605
NG,ID,107106
HY,ID,80845
MM,ID,79865
DF,ID,57666
BM,ID,33337
P1,ID,10291
CL,ID,7965
LG,ID,6604
JF,ID,4252
TE,IL,4011485
NG,IL,1073913
CL,IL,1026925
MM,IL,520490
DF,IL,267542
RE,IL,234642
P1,IL,184134
JF,IL,137555
BM,IL,136667
LG,IL,84791
HY,IL,1148
RF,IL,461
TE,IN,2900031
CL,IN,1198611
NG,IN,683069
MM,IN,338241
DF,IN,238489
RE,IN,150028
P1,IN,109664
BM,IN,107837
JF,IN,46721
LG,IN,25009
HY,IN,3692
RF,IN,926
TE,KS,1163051
CL,KS,326817
NG,KS,289018
MM,KS,146861
RE,KS,131901
DF,KS,125355
LG,KS,69274
P1,KS,53103
BM,KS,40719
JF,KS,10122
RF,KS,1105
HY,KS,139
TE,KY,1822719
CL,KY,914774
MM,KY,238831
NG,KY,236062
DF,KY,163332
RE,KY,89530
P1,KY,86332
