energy_type,state,year,amount
Biomass,AK,1960,3681
Coal,AK,1960,7189
Distillate Fuel,AK,1960,15354
Hydroelectric,AK,1960,3120
Jet Fuel,AK,1960,10632
Liquified Petroleum Gases,AK,1960,177
Motor Gasolene,AK,1960,8702
Natural Gas,AK,1960,2034
Other Petroleum,AK,1960,6076
Nuclear,AK,1960,45411
Renewable,AK,1960,6800
Residual Fuel Oil,AK,1960,4472
Total,AK,1960,61434
Biomass,AK,1961,4145
Coal,AK,1961,11552
Distillate Fuel,AK,1961,17023
Hydroelectric,AK,1961,3168
Jet Fuel,AK,1961,12803
Liquified Petroleum Gases,AK,1961,312
Motor Gasolene,AK,1961,9514
Natural Gas,AK,1961,2300
Other Petroleum,AK,1961,7276
Nuclear,AK,1961,51009
Renewable,AK,1961,7313
Residual Fuel Oil,AK,1961,4081
Total,AK,1961,72174
Biomass,AK,1962,4246
Coal,AK,1962,13559
Distillate Fuel,AK,1962,17412
Hydroelectric,AK,1962,3207
Jet Fuel,AK,1962,15493
Liquified Petroleum Gases,AK,1962,215
Motor Gasolene,AK,1962,10059
Natural Gas,AK,1962,4048
Other Petroleum,AK,1962,6055
Nuclear,AK,1962,53752
Renewable,AK,1962,7453
Residual Fuel Oil,AK,1962,4519
Total,AK,1962,78813
Biomass,AK,1963,4383
Coal,AK,1963,11999
Distillate Fuel,AK,1963,18196
Hydroelectric,AK,1963,3410
Jet Fuel,AK,1963,15800
Liquified Petroleum Gases,AK,1963,303
Motor Gasolene,AK,1963,10529
Natural Gas,AK,1963,5567
Other Petroleum,AK,1963,5892
Nuclear,AK,1963,55429
Renewable,AK,1963,7793
Residual Fuel Oil,AK,1963,4708
Total,AK,1963,80788
Biomass,AK,1964,4728
Coal,AK,1964,12029
Distillate Fuel,AK,1964,20441
Hydroelectric,AK,1964,3374
Jet Fuel,AK,1964,16395
Liquified Petroleum Gases,AK,1964,328
Motor Gasolene,AK,1964,10918
Natural Gas,AK,1964,6805
Other Petroleum,AK,1964,5038
Nuclear,AK,1964,58130
Renewable,AK,1964,8102
Residual Fuel Oil,AK,1964,5010
Total,AK,1964,85067
Biomass,AK,1965,4863
Coal,AK,1965,9888
Distillate Fuel,AK,1965,22066
Hydroelectric,AK,1965,3655
Jet Fuel,AK,1965,16517
Liquified Petroleum Gases,AK,1965,349
Motor Gasolene,AK,1965,12868
Natural Gas,AK,1965,7670
Other Petroleum,AK,1965,4365
Nuclear,AK,1965,61705
