state,zipcode,districtcode
01,30165,0103
01,31905,0103
01,35004,0103
01,35005,0106
01,35005,0107
01,35006,0104
01,35006,0106
01,35006,0107
01,35007,0106
01,35010,0102
01,35010,0103
01,35010,0106
01,35013,0106
01,35014,0103
01,35016,0104
01,35019,0104
01,35019,0105
01,35020,0106
01,35020,0107
01,35022,0106
01,35022,0107
01,35023,0106
01,35023,0107
01,35031,0104
01,35031,0106
01,35032,0103
01,35033,0104
01,35034,0106
01,35034,0107
01,35035,0106
01,35036,0106
01,35040,0106
01,35042,0106
01,35043,0106
01,35044,0103
01,35045,0106
01,35046,0106
01,35049,0106
01,35051,0106
01,35052,0103
01,35053,0104
01,35054,0103
01,35055,0104
01,35057,0104
01,35058,0104
01,35060,0106
01,35061,0106
01,35061,0107
01,35062,0104
01,35062,0106
01,35063,0104
01,35063,0106
01,35064,0107
01,35068,0106
01,35068,0107
01,35070,0104
01,35071,0106
01,35072,0103
01,35072,0106
01,35073,0106
01,35074,0106
01,35077,0104
01,35078,0106
01,35079,0106
01,35080,0106
01,35082,0103
01,35083,0104
01,35085,0106
01,35087,0104
01,35087,0105
01,35089,0103
01,35089,0106
01,35091,0106
01,35094,0103
01,35094,0106
01,35096,0103
01,35097,0106
01,35098,0104
01,35111,0106
01,35111,0107
01,35112,0103
01,35114,0106
01,35115,0106
01,35116,0106
01,35117,0106
01,35117,0107
01,35118,0106
01,35118,0107
01,35119,0106
01,35120,0103
01,35121,0103
01,35121,0104
01,35121,0106
01,35124,0106
01,35125,0103
01,35126,0106
01,35127,0106
01,35127,0107
01,35128,0103
01,35130,0104
01,35130,0106
01,35131,0103
01,35133,0103
01,35133,0106
01,35135,0103
01,35136,0106
01,35139,0106
01,35143,0106
01,35146,0103
01,35146,0106
01,35147,0106
01,35148,0104
01,35148,0106
01,35149,0103
01,35150,0103
01,35150,0106
01,35151,0103
01,35151,0106
01,35160,0103
01,35171,0106
01,35172,0106
01,35173,0103
01,35173,0106
01,35175,0104
01,35175,0105
01,35176,0106
01,35178,0103
01,35178,0106
01,35179,0104
01,35179,0105
01,35180,0106
01,35183,0106
01,35184,0106
01,35186,0106
01,35187,0106
01,35188,0106
01,35188,0107
01,35203,0107
01,35204,0107
01,35205,0106
01,35205,0107
01,35206,0106
01,35206,0107
01,35207,0106
01,35207,0107
01,35208,0107
01,35209,0106
01,35209,0107
01,35210,0106
01,35210,0107
01,35211,0106
01,35211,0107
01,35212,0106
01,35212,0107
01,35213,0106
01,35213,0107
01,35214,0106
01,35214,0107
01,35215,0106
01,35215,0107
01,35216,0106
01,35217,0106
01,35217,0107
01,35218,0107
01,35221,0107
01,35222,0106
01,35222,0107
01,35223,0106
01,35223,0107
01,35224,0106
01,35224,0107
01,35226,0106
01,35226,0107
01,35228,0107
01,35229,0106
01,35233,0107
01,35234,0107
01,35235,0106
01,35235,0107
01,35242,0106
01,35243,0106
01,35244,0106
01,35244,0107
01,35254,0107
01,35401,0104
01,35401,0107
01,35404,0104
01,35404,0107
01,35405,0107
01,35406,0104
01,35406,0107
01,35441,0107
01,35442,0107
01,35443,0107
01,35444,0104
01,35444,0106
